FF MOLTOP-NA-40667-66	MOLTOP-NA	AU6563	40667	1.5783365570599612	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40667-67	MOLTOP-NA	AU7389H	40667	1.63477912451167	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOP-NA-40784-58	MOLTOP-NA	AU7389G	40784	1.7960381511371972	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-40784-62	MOLTOP-NA	AU6563	40784	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOP-NA-41253-67	MOLTOP-NA	AU7389H	41253	1.55477929501429	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOP-NA-41254-67	MOLTOP-NA	AU7389H	41254	1.55477929501429	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOSS-NA-40055-72	MOLTOSS-NA	AU7538B	40055	1.4468085106382977	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOSS-NA-40569-51	MOLTOSS-NA	AU7538B	40569	2.0425531914893615	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOSS-NA-40569-73	MOLTOSS-NA	AU7538B	40569	1.4269892159720199	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOSS-NA-40572-51	MOLTOSS-NA	AU7538B	40572	2.0425531914893615	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOSS-NA-40572-72	MOLTOSS-NA	AU7538B	40572	1.4468085106382977	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOSS-NA-40779-73	MOLTOSS-NA	AU7538B	40779	1.4269892159720199	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOSS-NA-41064-73	MOLTOSS-NA	AU7538B	41064	1.4269892159720199	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOSSX-NA-40569-73	MOLTOSSX-NA	AU7538B	40569	1.4269892159720199	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOSSX-NA-40779-73	MOLTOSSX-NA	AU7538B	40779	1.4269892159720199	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOSSX-NA-40780-73	MOLTOSSX-NA	AU7538B	40780	1.4269892159720199	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOSSX-NA-41320-73	MOLTOSSX-NA	AU7538B	41320	1.4269892159720199	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOV-NA-41203-57	MOLTOV-NA	AU7389G	41203	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOV-NA-41203-63	MOLTOV-NA	AU7389H	41203	1.6534954407294833	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-09,Jet-10
FF MOLTOV-NA-41204-57	MOLTOV-NA	AU7389G	41204	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOV-NA-41204-63	MOLTOV-NA	AU7389H	41204	1.6534954407294833	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOX-NA-40383-62	MOLTOX-NA	AU7389H	40383	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTOX-NA-40406-62	MOLTOX-NA	AU7389H	40406	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOX-NA-40409-62	MOLTOX-NA	AU7389H	40409	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF MOLTOX-NA-40771-62	MOLTOX-NA	AU7389H	40771	1.6801647220315716	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF PARADIGMH-40726-61	PARADIGMH	AU7368H	40726	2.432190760059613	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF PRISMLITE-39340-64	PRISMLITE	AU5429D	39340	2.8333333333333335	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF PRISMLITE-39538-63	PRISMLITE	AU5429D	39538	2.878306878306878	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF PRISMLITE-39854-65	PRISMLITE	AU5429D	39854	2.7897435897435896	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF PRISMLITE-40358-64	PRISMLITE	AU5429D	40358	2.8333333333333335	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF PRISMLITE-40413-65	PRISMLITE	AU5429D	40413	2.7897435897435896	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF PRISMLITE-40639-65	PRISMLITE	AU5429D	40639	2.7897435897435896	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF PRISMLITEHE-39538-65	PRISMLITEHE	AU5429D	39538	2.7897435897435896	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF PRISMP-39876-45	PRISMP	AU2958A	39876	3.296969696969697	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
